sp,Species,PubName
Kornickeria_hastingsi_cap3,K_has,Bz KHC
,,Bz LLC
Maristella_chicoi_cap3,M_chi,Bz MSH
Photeros_annecohenae_DN96747_c10_g3_i3,P_ann,Bz PAN
Photeros_morini_cap3,P_mor,Bz PMO
,,Bz SRD
Maristella_sp_SVD_cap3,,Bz SVD
Maristella_sp_SVU_cap3,M_SVU,Bz SVU
,,Bz VAD
,,Bz VSD
,,Ja LSZ
,,Ja PJA
Photeros_macelroyi_DN131343_c2_g2_i4,,Ja PMC
,,Jp CSE
Vargula_hilgendorfii_AAA30332,V_hil,Jp VHI
,P_EGD,Pa EGD
,,Pa LAU
,P_LLL,Pa LLL
,,Pa MFU
,,Pa MGL
,,Pa NKU
,P_SFM,Pa SFM
,M_SMU,Pa SMU
,,Pr LHM
,LSD,Pr LSD
,K_SPU,Pr SPU
,,Pr SSU
,,Pr WCU
Maristella_sp_AG_DN382219_c2_g1_i4,,Ro AG
Kornickeria_sp_CMU_DN224532_c17_g4_i7,,Ro CMU
,M_DU,Ro DU
,P_GPH,Ro GPH
Maristella_sp_IR_DN50846_c6_g1_i1,M_IR,Ro IR
Maristella_sp_ODH_DN60908_c36_g8_i1,,Ro ODH
,M_RD,Ro RD
Photeros_sp_WLU_DN218316_c2_g1_i3,P_WLU,Ro WLU
Cypridina_noctiluca_BAD08210,C_noc_p,
Vargula_tsujii_sequenced,V_tsu,
Maristella_sp_VAD_DN92476_c5_g4_i1,,