Wavelength(nm),Var#1(21sec)
403.224,9.00E+08
403.635,9.92E+08
404.045,1.02E+09
404.455,9.80E+08
404.865,1.19E+09
405.274,1.14E+09
405.682,1.20E+09
406.09,1.34E+09
406.498,1.39E+09
406.906,1.59E+09
407.313,1.48E+09
407.719,1.62E+09
408.126,1.70E+09
408.532,1.75E+09
408.937,1.95E+09
409.343,2.05E+09
409.747,2.19E+09
410.152,2.10E+09
410.556,2.34E+09
410.96,2.51E+09
411.364,2.49E+09
411.767,2.73E+09
412.171,2.84E+09
412.573,2.99E+09
412.976,3.17E+09
413.378,3.20E+09
413.78,3.27E+09
414.182,3.54E+09
414.583,3.66E+09
414.984,3.93E+09
415.385,4.03E+09
415.786,4.30E+09
416.186,4.51E+09
416.587,4.62E+09
416.987,5.02E+09
417.386,5.07E+09
417.786,5.29E+09
418.185,5.63E+09
418.584,5.68E+09
418.983,6.13E+09
419.382,5.99E+09
419.78,6.49E+09
420.179,6.59E+09
420.577,6.79E+09
420.975,6.98E+09
421.372,7.36E+09
421.77,7.65E+09
422.167,7.70E+09
422.565,8.04E+09
422.962,8.44E+09
423.359,8.53E+09
423.755,8.82E+09
424.152,9.17E+09
424.548,9.49E+09
424.945,9.93E+09
425.341,9.88E+09
425.737,1.01E+10
426.133,1.06E+10
426.529,1.07E+10
426.924,1.11E+10
427.32,1.15E+10
427.715,1.19E+10
428.111,1.20E+10
428.506,1.24E+10
428.901,1.24E+10
429.296,1.27E+10
429.691,1.30E+10
430.085,1.34E+10
430.48,1.36E+10
430.875,1.44E+10
431.269,1.41E+10
431.663,1.44E+10
432.058,1.48E+10
432.452,1.53E+10
432.846,1.53E+10
433.24,1.59E+10
433.634,1.61E+10
434.028,1.62E+10
434.422,1.67E+10
434.816,1.69E+10
435.209,1.71E+10
435.603,1.76E+10
435.997,1.74E+10
436.39,1.80E+10
436.784,1.86E+10
437.177,1.84E+10
437.571,1.89E+10
437.964,1.86E+10
438.357,1.93E+10
438.75,1.93E+10
439.143,1.96E+10
439.537,1.99E+10
439.93,2.00E+10
440.323,2.04E+10
440.716,2.05E+10
441.109,2.07E+10
441.502,2.04E+10
441.895,2.11E+10
442.288,2.16E+10
442.68,2.10E+10
443.073,2.17E+10
443.466,2.18E+10
443.859,2.21E+10
444.252,2.24E+10
444.644,2.23E+10
445.037,2.26E+10
445.43,2.30E+10
445.823,2.31E+10
446.215,2.27E+10
446.608,2.31E+10
447,2.33E+10
447.393,2.35E+10
447.786,2.35E+10
448.178,2.36E+10
448.571,2.37E+10
448.964,2.38E+10
449.356,2.39E+10
449.749,2.40E+10
450.141,2.42E+10
450.534,2.43E+10
450.927,2.42E+10
451.319,2.44E+10
451.712,2.45E+10
452.104,2.45E+10
452.497,2.44E+10
452.889,2.45E+10
453.282,2.48E+10
453.675,2.51E+10
454.067,2.52E+10
454.46,2.49E+10
454.852,2.54E+10
455.245,2.52E+10
455.638,2.53E+10
456.03,2.52E+10
456.423,2.54E+10
456.815,2.53E+10
457.208,2.53E+10
457.601,2.53E+10
457.993,2.51E+10
458.386,2.53E+10
458.779,2.55E+10
459.172,2.53E+10
459.564,2.54E+10
459.957,2.58E+10
460.35,2.57E+10
460.742,2.55E+10
461.135,2.56E+10
461.528,2.56E+10
461.921,2.52E+10
462.314,2.56E+10
462.706,2.53E+10
463.099,2.56E+10
463.492,2.56E+10
463.885,2.55E+10
464.278,2.54E+10
464.671,2.52E+10
465.064,2.54E+10
465.457,2.53E+10
465.849,2.53E+10
466.242,2.51E+10
466.635,2.52E+10
467.028,2.52E+10
467.421,2.49E+10
467.814,2.50E+10
468.207,2.53E+10
468.6,2.48E+10
468.994,2.51E+10
469.387,2.46E+10
469.78,2.52E+10
470.173,2.44E+10
470.566,2.49E+10
470.959,2.45E+10
471.352,2.44E+10
471.745,2.44E+10
472.139,2.41E+10
472.532,2.37E+10
472.925,2.42E+10
473.318,2.40E+10
473.712,2.38E+10
474.105,2.38E+10
474.498,2.35E+10
474.891,2.35E+10
475.285,2.38E+10
475.678,2.31E+10
476.071,2.30E+10
476.465,2.33E+10
476.858,2.31E+10
477.252,2.29E+10
477.645,2.27E+10
478.038,2.26E+10
478.432,2.24E+10
478.825,2.20E+10
479.219,2.24E+10
479.612,2.21E+10
480.006,2.21E+10
480.399,2.19E+10
480.793,2.17E+10
481.186,2.14E+10
481.58,2.13E+10
481.973,2.13E+10
482.367,2.09E+10
482.76,2.11E+10
483.154,2.08E+10
483.547,2.08E+10
483.941,2.08E+10
484.335,2.06E+10
484.728,2.01E+10
485.122,2.03E+10
485.515,1.99E+10
485.909,1.99E+10
486.303,1.99E+10
486.696,1.96E+10
487.09,1.94E+10
487.483,1.93E+10
487.877,1.93E+10
488.271,1.91E+10
488.664,1.88E+10
489.058,1.87E+10
489.452,1.87E+10
489.845,1.85E+10
490.239,1.82E+10
490.633,1.82E+10
491.026,1.80E+10
491.42,1.78E+10
491.814,1.80E+10
492.207,1.77E+10
492.601,1.74E+10
492.995,1.73E+10
493.388,1.71E+10
493.782,1.70E+10
494.176,1.70E+10
494.569,1.68E+10
494.963,1.67E+10
495.357,1.64E+10
495.75,1.65E+10
496.144,1.65E+10
496.538,1.62E+10
496.931,1.60E+10
497.325,1.58E+10
497.719,1.59E+10
498.112,1.55E+10
498.506,1.54E+10
498.899,1.52E+10
499.293,1.51E+10
499.687,1.51E+10
500.08,1.48E+10
500.474,1.48E+10
500.867,1.47E+10
501.261,1.45E+10
501.654,1.47E+10
502.048,1.44E+10
502.442,1.43E+10
502.835,1.41E+10
503.229,1.40E+10
503.622,1.39E+10
504.016,1.37E+10
504.409,1.37E+10
504.802,1.33E+10
505.196,1.34E+10
505.589,1.32E+10
505.983,1.32E+10
506.376,1.30E+10
506.77,1.29E+10
507.163,1.28E+10
507.556,1.26E+10
507.95,1.27E+10
508.343,1.25E+10
508.736,1.23E+10
509.129,1.22E+10
509.523,1.19E+10
509.916,1.21E+10
510.309,1.18E+10
510.702,1.16E+10
511.096,1.16E+10
511.489,1.14E+10
511.882,1.13E+10
512.275,1.12E+10
512.668,1.12E+10
513.061,1.10E+10
513.454,1.09E+10
513.847,1.08E+10
514.24,1.07E+10
514.633,1.05E+10
515.026,1.05E+10
515.419,1.05E+10
515.812,1.04E+10
516.205,1.03E+10
516.598,1.02E+10
516.991,1.00E+10
517.384,1.00E+10
517.776,9.88E+09
518.169,9.74E+09
518.562,9.64E+09
518.955,9.59E+09
519.347,9.42E+09
519.74,9.32E+09
520.133,9.32E+09
520.525,9.25E+09
520.918,9.17E+09
521.31,8.99E+09
521.703,8.84E+09
522.095,8.67E+09
522.488,8.69E+09
522.88,8.60E+09
523.272,8.55E+09
523.665,8.49E+09
524.057,8.34E+09
524.449,8.18E+09
524.842,8.14E+09
525.234,8.10E+09
525.626,8.00E+09
526.018,7.85E+09
526.41,7.90E+09
526.803,7.75E+09
527.195,7.52E+09
527.587,7.52E+09
527.979,7.52E+09
528.371,7.36E+09
528.763,7.31E+09
529.154,7.42E+09
529.546,7.26E+09
529.938,7.13E+09
530.33,7.03E+09
530.722,6.99E+09
531.113,6.89E+09
531.505,6.81E+09
531.897,6.69E+09
532.288,6.58E+09
532.68,6.62E+09
533.071,6.56E+09
533.463,6.54E+09
533.854,6.39E+09
534.246,6.51E+09
534.637,6.25E+09
535.029,6.20E+09
535.42,6.06E+09
535.811,6.08E+09
536.202,6.03E+09
536.594,5.97E+09
536.985,5.91E+09
537.376,5.85E+09
537.767,5.79E+09
538.158,5.75E+09
538.549,5.64E+09
538.94,5.57E+09
539.331,5.53E+09
539.722,5.35E+09
540.113,5.35E+09
540.503,5.31E+09
540.894,5.19E+09
541.285,5.22E+09
541.676,5.11E+09
542.066,5.06E+09
542.457,5.01E+09
542.847,4.93E+09
543.238,4.92E+09
543.628,4.96E+09
544.019,4.75E+09
544.409,4.82E+09
544.8,4.73E+09
545.19,4.60E+09
545.58,4.72E+09
545.971,4.45E+09
546.361,4.46E+09
546.751,4.53E+09
547.141,4.39E+09
547.531,4.34E+09
547.921,4.24E+09
548.311,4.32E+09
548.701,4.22E+09
549.091,4.11E+09
549.481,4.12E+09
549.871,4.12E+09
550.261,4.02E+09
550.65,4.06E+09
551.04,3.95E+09
551.43,3.86E+09
551.819,3.77E+09
552.209,3.86E+09
552.599,3.83E+09
552.988,3.72E+09
553.378,3.65E+09
553.767,3.64E+09
554.156,3.71E+09
554.546,3.60E+09
554.935,3.55E+09
555.324,3.51E+09
555.714,3.40E+09
556.103,3.44E+09
556.492,3.37E+09
556.881,3.27E+09
557.27,3.34E+09
557.659,3.26E+09
558.048,3.28E+09
558.437,3.20E+09
558.826,3.18E+09
559.215,3.16E+09
559.604,3.06E+09
559.992,3.05E+09
560.381,2.99E+09
560.77,2.97E+09
561.159,2.92E+09
561.547,2.87E+09
561.936,2.89E+09
562.324,2.87E+09
562.713,2.86E+09
563.101,2.82E+09
563.49,2.71E+09
563.878,2.66E+09
564.267,2.72E+09
564.655,2.63E+09
565.043,2.65E+09
565.431,2.57E+09
565.82,2.60E+09
566.208,2.56E+09
566.596,2.50E+09
566.984,2.54E+09
567.372,2.52E+09
567.76,2.42E+09
568.148,2.46E+09
568.536,2.37E+09
568.924,2.37E+09
569.312,2.36E+09
569.7,2.32E+09
570.087,2.25E+09
570.475,2.23E+09
570.863,2.21E+09
571.251,2.24E+09
571.638,2.25E+09
572.026,2.16E+09
572.413,2.16E+09
572.801,2.20E+09
573.189,2.12E+09
573.576,2.06E+09
573.963,2.01E+09
574.351,2.00E+09
574.738,2.02E+09
575.126,2.00E+09
575.513,1.95E+09
575.9,1.91E+09
576.287,2.00E+09
576.675,1.85E+09
577.062,1.85E+09
577.449,1.90E+09
577.836,1.86E+09
578.223,1.81E+09
578.61,1.82E+09
578.997,1.82E+09
579.384,1.78E+09
579.771,1.71E+09
580.158,1.69E+09
580.545,1.66E+09
580.932,1.56E+09
581.319,1.65E+09
581.705,1.62E+09
582.092,1.60E+09
582.479,1.61E+09
582.866,1.50E+09
583.252,1.52E+09
583.639,1.51E+09
584.026,1.55E+09
584.412,1.51E+09
584.799,1.47E+09
585.185,1.48E+09
585.572,1.46E+09
585.958,1.48E+09
586.345,1.43E+09
586.731,1.40E+09
587.118,1.39E+09
587.504,1.36E+09
587.89,1.38E+09
588.277,1.37E+09
588.663,1.29E+09
589.049,1.31E+09
589.435,1.29E+09
589.822,1.29E+09
590.208,1.33E+09
590.594,1.29E+09
590.98,1.26E+09
591.366,1.19E+09
591.752,1.21E+09
592.138,1.23E+09
592.524,1.14E+09
592.91,1.17E+09
593.296,1.16E+09
593.682,1.16E+09
594.068,1.15E+09
594.454,1.10E+09
594.84,1.08E+09
595.226,1.08E+09
595.612,1.10E+09
595.998,1.06E+09
596.383,1.06E+09
596.769,1.01E+09
597.155,9.87E+08
597.541,1.02E+09
597.926,9.82E+08
598.312,1.04E+09
598.698,1.01E+09
599.083,9.50E+08
599.469,9.73E+08
599.855,9.31E+08
600.24,9.21E+08
600.626,9.47E+08
601.011,9.36E+08
601.397,9.27E+08
601.782,9.22E+08
602.168,9.50E+08
602.553,8.77E+08
602.939,8.92E+08
603.324,8.62E+08
603.71,9.01E+08
604.095,8.76E+08
604.481,8.43E+08
604.866,8.09E+08
605.251,8.19E+08
605.637,8.72E+08
606.022,8.20E+08
606.407,7.88E+08
606.793,7.97E+08
607.178,7.47E+08
607.563,8.13E+08
607.949,7.80E+08
608.334,7.75E+08
608.719,7.59E+08
609.104,7.25E+08
609.489,7.90E+08
609.875,7.60E+08
610.26,7.62E+08
610.645,7.44E+08
611.03,7.04E+08
611.415,7.10E+08
611.8,6.62E+08
612.185,6.95E+08
612.571,6.86E+08
612.956,6.54E+08
613.341,6.57E+08
613.726,6.97E+08
614.111,6.17E+08
614.496,6.62E+08
614.881,6.70E+08
615.266,6.40E+08
615.651,5.79E+08
616.036,6.26E+08
616.421,6.35E+08
616.806,6.51E+08
617.191,6.32E+08
617.576,6.15E+08
617.961,5.74E+08
618.346,6.01E+08
618.731,5.80E+08
619.115,5.89E+08
619.5,5.14E+08
619.885,5.75E+08
620.27,5.45E+08
620.655,5.18E+08
621.04,5.70E+08
621.425,5.44E+08
621.81,5.29E+08
622.194,5.53E+08
622.579,5.37E+08
622.964,5.45E+08
623.349,5.22E+08
623.734,5.16E+08
624.119,5.07E+08
624.503,5.28E+08
624.888,4.63E+08
625.273,4.91E+08
625.658,5.01E+08
626.042,4.71E+08
626.427,5.04E+08
626.812,4.60E+08
627.197,4.31E+08
627.581,4.34E+08
627.966,4.62E+08
628.351,4.81E+08
628.736,4.74E+08
629.12,4.11E+08
629.505,4.45E+08
629.89,4.50E+08
630.274,4.40E+08
630.659,4.28E+08
631.044,4.58E+08
631.428,4.22E+08
631.813,4.21E+08
632.198,3.85E+08
632.582,4.20E+08
632.967,3.76E+08
633.352,3.66E+08
633.736,3.74E+08
634.121,3.98E+08
634.506,4.11E+08
634.89,4.10E+08
635.275,3.62E+08
635.659,3.51E+08
636.044,3.57E+08
636.429,3.76E+08
636.813,3.90E+08
637.198,3.54E+08
637.582,3.89E+08
637.967,3.71E+08
638.352,3.84E+08
638.736,3.32E+08
639.121,3.49E+08
639.505,3.63E+08
639.89,3.82E+08
640.275,3.62E+08
640.659,3.29E+08
641.044,3.21E+08
641.428,3.41E+08
641.813,3.53E+08
642.197,3.03E+08
642.582,2.98E+08
642.966,3.18E+08
643.351,3.17E+08
643.735,3.21E+08
644.12,3.16E+08
644.504,3.18E+08
644.889,3.15E+08
645.273,3.35E+08
645.658,2.86E+08
646.042,3.09E+08
646.427,3.16E+08
646.811,3.19E+08
647.196,2.78E+08
647.58,2.76E+08
647.965,3.21E+08
648.349,2.78E+08
648.734,2.76E+08
649.118,2.34E+08
649.503,2.90E+08
649.887,2.93E+08
650.272,2.62E+08
650.656,2.80E+08
651.04,2.49E+08
651.425,2.50E+08
651.809,2.83E+08
652.194,2.48E+08
652.578,2.66E+08
652.962,2.77E+08
653.347,2.40E+08
653.731,2.38E+08
654.116,2.25E+08
654.5,2.55E+08
654.884,2.76E+08
655.269,2.45E+08
655.653,2.68E+08
656.037,2.56E+08
656.422,2.39E+08
656.806,2.40E+08
657.19,2.12E+08
657.575,2.87E+08
657.959,1.99E+08
658.343,2.33E+08
658.728,2.39E+08
659.112,2.07E+08
659.496,2.16E+08
659.881,2.20E+08
660.265,1.93E+08
660.649,2.17E+08
661.033,2.42E+08
661.418,2.08E+08
661.802,2.02E+08
662.186,2.02E+08
662.57,1.93E+08
662.955,2.26E+08
663.339,2.14E+08
663.723,2.22E+08
664.107,1.92E+08
